Taxonomy	Last.taxonomic.level	Species.found.in.Metatranscriptomic.dataset.(Monjot.et.al.2023)	Trophic.modes	Type_1	Type_2	Description_of_mixotrophy	Description_of_endophytic_interaction	Description_of_biotic_interaction_and_pathology	Host.symbiont	References_1	References_2	References_3	References_4	Retained_in_the_analysis
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Sporadotrichida/f_Oxytrichidae/g_Sterkiella	Sterkiella	Sterkiella histriomuscorum + Sterkiella nova	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Sporadotrichida/f_Oxytrichidae/g_Stylonychia	Stylonychia	Stylonychia lemnae	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Stichotrichida/f_Kahliellidae/g_Kahliella	Kahliella	Kahliella matisi	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Tintinnida/f_/g_	Tintinnida		HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Tintinnida/f_Rhabdonellidae/g_Schmidingerella	Schmidingerella	Schmidingerella taraikaensis	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Tintinnida/f_Xystonellidae/g_Favella	Favella	Favella ehrenbergii	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Urostylida/f_/g_	Urostylida		HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Urostylida/f_Holostichidae/g_Holosticha	Holosticha	Holosticha sp. WJC-2003	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Urostylida/f_Pseudokeronopsidae/g_Pseudokeronopsis	Pseudokeronopsis		HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Urostylida/f_Urostylidae/g_Uroleptus	Uroleptus	Uroleptus sp. WJC-2003	HET											Yes
Eukaryota/d_Alveolata/p_Perkinsozoa/c_/o_Perkinsida/f_Perkinsidae/g_Perkinsus	Perkinsus	Perkinsus chesapeaki + Perkinsus marinus + Perkinsus olseni	PARA	Facultative				Intracellular parasite	"Algae, Oyster"	http://dx.doi.org/10.1371/journal.pone.0155015				Yes
Eukaryota/d_Amoebozoa/p_/c_/o_/f_/g_	Amoebozoa		NA											Yes
Eukaryota/d_Amoebozoa/p_/c_/o_/f_/g_Stereomyxa	Stereomyxa	Stereomyxa ramosa	HET											Yes
Eukaryota/d_Amoebozoa/p_Discosea/c_/o_/f_/g_	Discosea		NA											Yes
Eukaryota/d_Amoebozoa/p_Discosea/c_/o_Longamoebia/f_/g_	Longamoebia		NA											Yes
Eukaryota/d_Amoebozoa/p_Discosea/c_/o_Longamoebia/f_/g_Mayorella	Mayorella		HET											Yes
Eukaryota/d_Amoebozoa/p_Discosea/c_/o_Longamoebia/f_Acanthamoebidae/g_Acanthamoeba	Acanthamoeba	Acanthamoeba castellanii + Acanthamoeba culbertsoni + Acanthamoeba healyi	PARA	Facultative				blinding keratitis and fatal granulomatous encephalitis	Human	https://doi.org/10.1186/1756-3305-5-6				Yes
Eukaryota/d_Amoebozoa/p_Discosea/c_/o_Stygamoebida/f_/g_Stygamoeba	Stygamoeba	Stygamoeba regulata	HET							https://doi.org/10.1016/j.ejop.2019.125660				Yes
Eukaryota/d_Amoebozoa/p_Discosea/c_Flabellinia/o_/f_/g_	Flabellinia		NA											Yes
Eukaryota/d_Amoebozoa/p_Discosea/c_Flabellinia/o_/f_Vannellidae/g_	Vannellidae		NA											Yes
Eukaryota/d_Amoebozoa/p_Discosea/c_Flabellinia/o_/f_Vannellidae/g_Pessonella	Pessonella		HET											Yes
Eukaryota/d_Amoebozoa/p_Discosea/c_Flabellinia/o_/f_Vannellidae/g_Vannella	Vannella	Vannella simplex + Vannella sp. CB-2014	HET											Yes
Eukaryota/d_Amoebozoa/p_Discosea/c_Flabellinia/o_Dactylopodida/f_/g_	Dactylopodida		NA											Yes
Eukaryota/d_Amoebozoa/p_Discosea/c_Flabellinia/o_Dactylopodida/f_Paramoebidae/g_Paramoeba	Paramoeba	Paramoeba aestuarina + Paramoeba atlantica + Paramoeba pemaquidensis	PARA	Facultative					Fish	https://doi.org/10.1128/EC.05027-11	https://doi.org/10.1016/j.pt.2018.01.004			Yes
Eukaryota/d_Amoebozoa/p_Discosea/c_Flabellinia/o_Dactylopodida/f_Vexilliferidae/g_Vexillifera	Vexillifera		HET											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_/o_/f_/g_	Evosea		NA											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_/o_Mastigamoebida/f_/g_	Mastigamoebida		NA											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_/o_Mastigamoebida/f_Entamoebidae/g_Entamoeba	Entamoeba	Entamoeba dispar + Entamoeba histolytica + Entamoeba invadens + Entamoeba nuttalli	PARA	Facultative	Rare Infection			Abscess liver	Human	https://doi.org/10.4103/2229-5070.149887				Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_/o_Mastigamoebida/f_Mastigamoebidae/g_Mastigamoeba	Mastigamoeba	Mastigamoeba balamuthi	HET											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Eumycetozoa/o_/f_/g_	Eumycetozoa		NA											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Eumycetozoa/o_/f_/g_Synstelium	Synstelium	Synstelium polycarpum	HET											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Eumycetozoa/o_Acytosteliales/f_/g_	Acytosteliales		NA											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Eumycetozoa/o_Acytosteliales/f_Acytosteliaceae/g_Acytostelium	Acytostelium	Acytostelium subglobosum	HET											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Eumycetozoa/o_Acytosteliales/f_Acytosteliaceae/g_Heterostelium	Heterostelium	Heterostelium album	HET							https://doi.org/10.1016/j.ejop.2019.02.003				Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Eumycetozoa/o_Acytosteliales/f_Cavenderiaceae/g_Cavenderia	Cavenderia	Cavenderia deminutiva + Cavenderia fasciculata	HET											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Eumycetozoa/o_Dictyosteliales/f_/g_	Dictyosteliales		NA											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Eumycetozoa/o_Dictyosteliales/f_/g_Coremiostelium	Coremiostelium	Coremiostelium polycephalum	HET											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Eumycetozoa/o_Dictyosteliales/f_Dictyosteliaceae/g_Dictyostelium	Dictyostelium	Dictyostelium discoideum + Dictyostelium purpureum	HET											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Eumycetozoa/o_Dictyosteliales/f_Raperosteliaceae/g_	Raperosteliaceae		HET											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Eumycetozoa/o_Dictyosteliales/f_Raperosteliaceae/g_Tieghemostelium	Tieghemostelium	Tieghemostelium lacteum	HET											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Eumycetozoa/o_Physariida/f_Didymiaceae/g_Didymium	Didymium	Didymium dachnayum	HET											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Eumycetozoa/o_Physariida/f_Didymiaceae/g_Lepidoderma	Lepidoderma	Lepidoderma carestianum	HET											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Eumycetozoa/o_Physariida/f_Physaraceae/g_Physarum	Physarum	Physarum melleum + Physarum polycephalum	HET											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Variosea/o_/f_/g_	Variosea		NA											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Variosea/o_/f_/g_Filamoeba	Filamoeba	Filamoeba nolandi	HET											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Variosea/o_Cavosteliida/f_Cavosteliaceae/g_Planoprotostelium	Planoprotostelium	Planoprotostelium fungivorum	HET											Yes
Eukaryota/d_Amoebozoa/p_Evosea/c_Variosea/o_Fractovitellida/f_Soliformoviidae/g_Soliformovum	Soliformovum	Soliformovum irregulare	HET											Yes
Eukaryota/d_Amoebozoa/p_Tubulinea/c_/o_/f_/g_	Tubulinea		NA											Yes
Eukaryota/d_Amoebozoa/p_Tubulinea/c_Corycida/o_/f_/g_Trichosphaerium	Trichosphaerium		HET							https://doi.org/10.1016/0302-3524(73)90038-8				Yes
Eukaryota/d_Amoebozoa/p_Tubulinea/c_Echinamoebida/o_/f_/g_Vermamoeba	Vermamoeba	Vermamoeba vermiformis	HET							https://doi.org/10.1007/s00248-018-1199-8				Yes
Eukaryota/d_Amoebozoa/p_Tubulinea/c_Elardia/o_/f_/g_	Elardia		NA											Yes
Eukaryota/d_Amoebozoa/p_Tubulinea/c_Elardia/o_Arcellinida/f_/g_Pyxidicula	Pyxidicula	Pyxidicula operculata	HET							https://doi.org/10.1007/BF00015243				Yes
Eukaryota/d_Amoebozoa/p_Tubulinea/c_Elardia/o_Arcellinida/f_/g_Sexangularia	Sexangularia	Sexangularia sp. CB-2014	HET											Yes
Eukaryota/d_Amoebozoa/p_Tubulinea/c_Elardia/o_Arcellinida/f_Cryptodifflugiidae/g_Cryptodifflugia	Cryptodifflugia	Cryptodifflugia operculata	HET							http://dx.doi.org/10.1111/1462-2920.12949				Yes
Eukaryota/d_Amoebozoa/p_Tubulinea/c_Elardia/o_Arcellinida/f_Heleoperidae/g_Heleopera	Heleopera	Heleopera sphagni	HET							https://doi.org/10.1016/S0003-9365(89)80036-3				Yes
Eukaryota/d_Amoebozoa/p_Tubulinea/c_Elardia/o_Euamoebida/f_/g_Copromyxa	Copromyxa	Copromyxa protea	HET											Yes
Eukaryota/d_Amoebozoa/p_Tubulinea/c_Elardia/o_Euamoebida/f_Amoebidae/g_Amoeba	Amoeba	Amoeba proteus	HET											Yes
Eukaryota/d_Amoebozoa/p_Tubulinea/c_Elardia/o_Leptomyxida/f_Flabellulidae/g_Rhizamoeba	Rhizamoeba	Rhizamoeba saxonica	HET											Yes
Eukaryota/d_Apusozoa/p_/c_/o_/f_Apusomonadidae/g_Thecamonas	Thecamonas	Thecamonas trahens	HET							https://doi.org/10.1111/jeu.12956				Yes
Eukaryota/d_CRuMs/p_/c_/o_/f_Collodictyonidae/g_Collodictyon	Collodictyon	Collodictyon triciliatum	HET											Yes
Eukaryota/d_CRuMs/p_/c_/o_/f_Collodictyonidae/g_Diphylleia	Diphylleia	Diphylleia rotans	HET							https://doi.org/10.1078/1434-4610-00083				Yes
Eukaryota/d_Eukaryota incertae sedis/p_/c_/o_/f_/g_Palpitomonas	Palpitomonas	Palpitomonas bilix	HET							https://doi.org/10.1038/srep04641				Yes
Eukaryota/d_Eukaryota incertae sedis/p_/c_/o_/f_Tsukubamonadidae/g_Tsukubamonas	Tsukubamonas	Tsukubamonas globosa	HET							https://doi.org/10.1111/j.1550-7408.2011.00552.x				Yes
Eukaryota/d_Eukaryota incertae sedis/p_/c_/o_Telonemida/f_/g_Telonema	Telonema	Telonema subtile	HET											Yes
Eukaryota/d_Metamonada/p_/c_/o_/f_/g_	Metamonada		NA											Yes
Eukaryota/d_Metamonada/p_Fornicata/c_/o_/f_/g_	Fornicata		NA											Yes
Eukaryota/d_Metamonada/p_Fornicata/c_/o_/f_/g_Carpediemonas	Carpediemonas	Carpediemonas membranifera	HET											Yes
Eukaryota/d_Metamonada/p_Fornicata/c_/o_Diplomonadida/f_Hexamitidae/g_	Hexamitidae		NA											Yes
Eukaryota/d_Metamonada/p_Fornicata/c_/o_Diplomonadida/f_Hexamitidae/g_Giardia	Giardia	Giardia intestinalis	PARA	Obligate					Mammals	https://doi.org/10.1128/CMR.00024-19				Yes
Eukaryota/d_Metamonada/p_Fornicata/c_/o_Diplomonadida/f_Hexamitidae/g_Hexamita	Hexamita	Hexamita inflata	PARA	Facultative					Fish	https://doi.org/10.1016/0166-6851(93)90005-I				Yes
Eukaryota/d_Metamonada/p_Fornicata/c_/o_Diplomonadida/f_Hexamitidae/g_Spironucleus	Spironucleus	Spironucleus barkhanus + Spironucleus salmonicida + Spironucleus vortens	PARA	Facultative					Fish	https://doi.org/10.3354/dao033063	https://doi.org/10.1371/journal.pgen.1004053			Yes
Eukaryota/d_Metamonada/p_Fornicata/c_/o_Diplomonadida/f_Hexamitidae/g_Trepomonas	Trepomonas	Trepomonas sp. PC1	HET											Yes
Eukaryota/d_Metamonada/p_Parabasalia/c_/o_/f_/g_	Parabasalia		NA											Yes
Eukaryota/d_Metamonada/p_Parabasalia/c_/o_Trichomonadida/f_Trichomonadidae/g_Trichomonas	Trichomonas	Trichomonas vaginalis	PARA	Obligate				Extracellular parasite	Human	https://doi.org/10.1042/bse0510161				Yes
Eukaryota/d_Metamonada/p_Parabasalia/c_/o_Tritrichomonadida/f_Dientamoebidae/g_Histomonas	Histomonas	Histomonas meleagridis	PARA	Facultative					Birds	https://doi.org/10.3389/fvets.2022.880738				Yes
Eukaryota/d_Metamonada/p_Parabasalia/c_/o_Tritrichomonadida/f_Tritrichomonadidae/g_Tritrichomonas	Tritrichomonas	Tritrichomonas foetus	PARA	Obligate					Mammals	https://doi.org/10.1186/s13567-015-0169-0				Yes
Eukaryota/d_Metamonada/p_Preaxostyla/c_/o_/f_/g_	Preaxostyla		NA											Yes
Eukaryota/d_Metamonada/p_Preaxostyla/c_/o_/f_Paratrimastigidae/g_Paratrimastix	Paratrimastix	Paratrimastix pyriformis	HET											Yes
Eukaryota/d_Metamonada/p_Preaxostyla/c_/o_/f_Trimastigidae/g_Trimastix	Trimastix	Trimastix marina	HET							https://doi.org/10.1016/s1434-4610(99)70018-0				Yes
Eukaryota/d_Metamonada/p_Preaxostyla/c_/o_Oxymonadida/f_/g_	Oxymonadida		NA											Yes
Eukaryota/d_Metamonada/p_Preaxostyla/c_/o_Oxymonadida/f_Polymastigidae/g_Monocercomonoides	Monocercomonoides	Monocercomonoides sp. PA + Monocercomonoides sp. PA203	HET							https://doi.org/10.1016/j.cub.2016.03.053				Yes
Eukaryota/d_Metamonada/p_Preaxostyla/c_/o_Oxymonadida/f_Pyrsonymphidae/g_Dinenympha	Dinenympha	Dinenympha exilis	SAP		Obligate Endosymbiosis				Termite					Yes
Eukaryota/d_Metamonada/p_Preaxostyla/c_/o_Oxymonadida/f_Pyrsonymphidae/g_Pyrsonympha	Pyrsonympha	Pyrsonympha sp. LN-2016a	SAP		Obligate Endosymbiosis				Termite					Yes
Eukaryota/d_Metamonada/p_Preaxostyla/c_/o_Oxymonadida/f_Streblomastigidae/g_Streblomastix	Streblomastix	Streblomastix strix	SAP		Obligate Endosymbiosis				Termite	https://doi.org/10.1128/AEM.02945-14				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_/c_/o_/f_/g_	Fungi		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_/o_/f_/g_	Ascomycota		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_/o_/f_/g_Bispora	Bispora	Bispora sp. MEY-1	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_/o_/f_/g_Saitoella	Saitoella	Saitoella complicata	SAP							https://doi.org/10.1007/s10482-011-9694-7				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_/f_/g_	Dothideomycetes		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_/f_/g_Coniosporium	Coniosporium	Coniosporium apollinis	PARA	Facultative	Rare Infection			Only Coniosporium epidermidis sp. nov. causes skin disorders	Human	https://doi.org/10.3114/sim.2008.61.13				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_/f_Gloniaceae/g_Cenococcum	Cenococcum	Cenococcum geophilum	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Botryosphaeriales/f_Botryosphaeriaceae/g_	Botryosphaeriaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Botryosphaeriales/f_Botryosphaeriaceae/g_Diplodia	Diplodia	Diplodia corticola + Diplodia seriata	PARA	Facultative	Endophyte		Necrotrophic	Canker	Phytopathogen	https://doi.org/10.1094/PDIS-05-20-0977-RE				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Botryosphaeriales/f_Botryosphaeriaceae/g_Lasiodiplodia	Lasiodiplodia	Lasiodiplodia sp. AM-2017a	PARA	Facultative	Endophyte		Necrotrophic	"Dieback, Root Rot and Leaf Spot on Fruit Trees"	Phytopathogen	https://doi.org/10.3390/jof8111203				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Botryosphaeriales/f_Botryosphaeriaceae/g_Macrophomina	Macrophomina	Macrophomina phaseolina	PARA	Facultative	Endophyte		Hemibiotrophic	Charcoal root rot	Phytopathogen	https://doi.org/10.1080/07060661.2021.1937321	https://doi.org/10.1038/s41598-017-17248-7			Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Botryosphaeriales/f_Botryosphaeriaceae/g_Neofusicoccum	Neofusicoccum	Neofusicoccum parvum	PARA	Facultative	Endophyte		Necrotrophic	Canker	Phytopathogen	https://doi.org/10.1016/j.funbio.2011.11.010				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Capnodiales/f_/g_	Capnodiales		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Capnodiales/f_/g_Acidomyces	Acidomyces	Acidomyces richmondensis	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Capnodiales/f_Cladosporiaceae/g_	Cladosporiaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Capnodiales/f_Cladosporiaceae/g_Cladosporium	Cladosporium	Cladosporium cladosporioides + Cladosporium herbarum + Cladosporium phlei	PARA	Facultative	Endophyte and Rare Human Infection		Hemibiotrophic	C. cladosporioides causes seasonal allergy while C. herbarum and C. phlei causes wheat necrotric disorder 	Multiple	https://doi.org/10.3114/sim.2007.58.05				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Capnodiales/f_Cladosporiaceae/g_Rachicladosporium	Rachicladosporium	Rachicladosporium antarcticum + Rachicladosporium sp. CCFEE 5018	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Capnodiales/f_Mycosphaerellaceae/g_	Mycosphaerellaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Capnodiales/f_Mycosphaerellaceae/g_Cercospora	Cercospora	Cercospora berteroae + Cercospora beticola + Cercospora zeina	PARA	Facultative	Endophyte		Hemibiotrophic	Leaf Spot	Phytopathogen	https://doi.org/10.5586/am.2012.003	https://doi.org/10.1111/mpp.13026			Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Capnodiales/f_Mycosphaerellaceae/g_Dothistroma	Dothistroma	Dothistroma septosporum	PARA	Facultative	Endophyte		Hemibiotrophic	dothistroma needle blight (DNB) of pines	Phytopathogen	https://doi.org/10.1038/s41598-021-99415-5				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Capnodiales/f_Mycosphaerellaceae/g_Passalora	Passalora	Passalora fulva	PARA	Facultative	Endophyte		Hemibiotrophic	Tomato leaf mould	Phytopathogen	https://doi.org/10.1111/j.1364-3703.2005.00292.x				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Capnodiales/f_Mycosphaerellaceae/g_Pseudocercospora	Pseudocercospora	Pseudocercospora eumusae + Pseudocercospora fijiensis + Pseudocercospora musae	PARA	Facultative	Endophyte		Hemibiotrophic	Eumusae leaf spot disease	Phytopathogen	https://doi.org/10.3390/plants11070948	http://dx.doi.org/10.21931/RB/2021.06.01.15			Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Capnodiales/f_Mycosphaerellaceae/g_Ramularia	Ramularia	Ramularia collo-cygni	PARA	Facultative	Endophyte		Necrotrophic	Ramularia leaf spot (RLS) 	Phytopathogen	https://doi.org/10.1186/s12864-016-2928-3				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Capnodiales/f_Mycosphaerellaceae/g_Sphaerulina	Sphaerulina	Sphaerulina musiva	PARA	Facultative	Endophyte		Hemibiotrophic	Canker	Phytopathogen	https://doi.org/10.1094/phyto-04-20-0143-r	https://doi.org/10.1094/phyto-02-21-0053-r			Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Capnodiales/f_Mycosphaerellaceae/g_Zymoseptoria	Zymoseptoria	Zymoseptoria brevis + Zymoseptoria tritici	PARA	Facultative	Endophyte		Hemibiotrophic	septoria tritici blotch	Phytopathogen	https://doi.org/10.1111/nph.14215	https://doi.org/10.1016/j.fgb.2015.04.001			Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Capnodiales/f_Teratosphaeriaceae/g_	Teratosphaeriaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Capnodiales/f_Teratosphaeriaceae/g_Baudoinia	Baudoinia	Baudoinia panamericana	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Capnodiales/f_Teratosphaeriaceae/g_Hortaea	Hortaea	Hortaea werneckii	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Dothideales/f_/g_	Dothideales		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Dothideales/f_Saccotheciaceae/g_Aureobasidium	Aureobasidium	Aureobasidium melanogenum + Aureobasidium namibiae + Aureobasidium pullulans + Aureobasidium sp. P25 + Aureobasidium subglaciale	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Hysteriales/f_Hysteriaceae/g_	Hysteriaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Myriangiales/f_Elsinoaceae/g_	Elsinoaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Myriangiales/f_Elsinoaceae/g_Elsinoe	Elsinoe	Elsinoe australis	PARA	Obligate	Endophyte		Necrotrophic	sweet orange scab	Phytopathogen	https://doi.org/10.1016/B978-0-12-373621-5.00004-0	https://doi.org/10.1371/journal.pone.0227396			Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Myriangiales/f_Elsinoaceae/g_Sphaceloma	Sphaceloma	Sphaceloma murrayae	PARA	Facultative	Endophyte		Hemibiotrophic	greyish-white leaf spots	Phytopathogen	https://doi.org/10.1111/ppa.12478				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Pleosporales/f_/g_	Pleosporales		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Pleosporales/f_Astrosphaeriellaceae/g_Pithomyces	Pithomyces	Pithomyces chartarum	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Pleosporales/f_Corynesporascaceae/g_Corynespora	Corynespora	Corynespora cassiicola	PARA	Obligate	Endophyte		Necrotrophic	Numerous host	Phytopathogen	https://doi.org/10.3389/fpls.2019.00668	https://doi.org/10.3389/fmicb.2018.00276			Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Pleosporales/f_Cucurbitariaceae/g_Pyrenochaeta	Pyrenochaeta	Pyrenochaeta sp. DS3sAY3a	PARA	Facultative	Endophyte and Rare Human Infection		Hemibiotrophic	Skin disorder	Multiple	https://doi.org/10.1371/journal.pone.0162095				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Pleosporales/f_Didymellaceae/g_	Didymellaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Pleosporales/f_Didymellaceae/g_Ascochyta	Ascochyta	Ascochyta rabiei	PARA	Facultative	Endophyte		Necrotrophic	Ascochyta blight (AB) disease	Phytopathogen	https://doi.org/10.1111/mpp.13235				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Pleosporales/f_Didymellaceae/g_Epicoccum	Epicoccum	Epicoccum nigrum	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Pleosporales/f_Didymellaceae/g_Stagonosporopsis	Stagonosporopsis	Stagonosporopsis cucurbitacearum	PARA	Facultative	Endophyte		Necrotrophic	Black rot	Phytopathogen	https://doi.org/10.14601/Phytopathol_Mediter-10624				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Pleosporales/f_Didymosphaeriaceae/g_Paraphaeosphaeria	Paraphaeosphaeria	Paraphaeosphaeria sporulosa	PARA	Facultative	Endophyte		Biotrophic		Phytopathogen					Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Dothideomycetes/o_Pleosporales/f_Leptosphaeriaceae/g_Leptosphaeria	Leptosphaeria	Leptosphaeria maculans	SAP											Yes
